e,e_reduced,prime,w,table GB,pc depth,pc GB,w (4GPU)
32,30,p69,8,,9,,6
34,32,p72,9,,9,,7
36,34,p76,10,,10,,8
38,36,p82,11,,11,,9
40,38,p87,12,,11,,10
42,40,p89,13,,12,,11
44,42,p95,14,,12,,12
46,44,p99,15,,13,,13
48,46,p100,16,,13,,14
50,48,p107,17,,14,,15
52,50,p111,18,,14,,16
54,52,p117,19,,15,,17
56,54,p118,20,,15,,18
58,56,p124,21,,16,,19
60,58,p126,22,,16,,20
62,60,p129,23,,17,,21
64,62,p131,24,0.094,17,0.059,22
70,68,p140,27,0.75,19,0.23,25
76,74,p152,30,7,21,0.94,28
82,80,p164,33,56,22,1.88,32
88,86,p176,33,64,24,7.5,34
92,90,p184,33,64,24,7.5,34
98,96,p196,33,72,23,5,34
102,100,p204,32,40,25,20,34
108,106,p216,32,40,25,20,34
112,110,p224,32,44,25,20,34
118,116,p236,32,48,25,20,34
122,120,p244,32,48,25,20,34
126,124,p252,32,52,25,20,34
